** AC analysis **

** Net information **
resistor       : [ rs ]
voltage source : [ vcc vin vin2 ]
current source : [ isrc ]
vccs           : [ ]
vcvs           : [ ]
ccvs           : [ ]
cccs           : [ ]
diode          : [ ]
bjt            : [ qamp qsrc1 qsrc2 ]
capacitor      : [ ]
inductor       : [ ]

** Node information **
0  : [ vcc isrc qamp vin ]
supply: [ vcc qsrc1 qsrc2 ]
cbias: [ isrc qsrc1 qsrc1 qsrc2 ]
out: [ qsrc2 qamp ]
b  : [ qamp rs ]
input2: [ rs vin2 ]
input1: [ vin2 vin ]

freq=64565.4 sol=(-3.06349e-05,6.42777e-07) s=0.306416
freq=66069.3 sol=(-3.06343e-05,6.57736e-07) s=0.306413
freq=67608.3 sol=(-3.06336e-05,6.73043e-07) s=0.30641
freq=69183.1 sol=(-3.06329e-05,6.88705e-07) s=0.306407
freq=70794.6 sol=(-3.06322e-05,7.04731e-07) s=0.306403
freq=72443.6 sol=(-3.06315e-05,7.21129e-07) s=0.3064
freq=74131 sol=(-3.06307e-05,7.37908e-07) s=0.306396
freq=75857.8 sol=(-3.06299e-05,7.55077e-07) s=0.306392
freq=77624.7 sol=(-3.0629e-05,7.72644e-07) s=0.306388
freq=79432.8 sol=(-3.06281e-05,7.90619e-07) s=0.306383
freq=81283.1 sol=(-3.06272e-05,8.0901e-07) s=0.306379
freq=83176.4 sol=(-3.06262e-05,8.27829e-07) s=0.306374
freq=85113.8 sol=(-3.06252e-05,8.47084e-07) s=0.306369
freq=87096.4 sol=(-3.06241e-05,8.66785e-07) s=0.306364
freq=89125.1 sol=(-3.0623e-05,8.86943e-07) s=0.306358
freq=91201.1 sol=(-3.06218e-05,9.07569e-07) s=0.306353
freq=93325.4 sol=(-3.06206e-05,9.28672e-07) s=0.306347
freq=95499.3 sol=(-3.06193e-05,9.50265e-07) s=0.30634
freq=97723.7 sol=(-3.06179e-05,9.72357e-07) s=0.306334
freq=100000 sol=(-3.06165e-05,9.94961e-07) s=0.306327
freq=102329 sol=(-3.0615e-05,1.01809e-06) s=0.30632
freq=104713 sol=(-3.06135e-05,1.04175e-06) s=0.306312
freq=107152 sol=(-3.06118e-05,1.06596e-06) s=0.306304
freq=109648 sol=(-3.06101e-05,1.09073e-06) s=0.306296
freq=112202 sol=(-3.06084e-05,1.11608e-06) s=0.306287
freq=114815 sol=(-3.06065e-05,1.142e-06) s=0.306278
freq=117490 sol=(-3.06045e-05,1.16853e-06) s=0.306268
freq=120226 sol=(-3.06025e-05,1.19567e-06) s=0.306258
